vrijeme,klasa,pouzdanost
2026-09-17 15:26:36.149,car,0.2726
2026-09-17 15:26:36.362,car,0.2607
2026-09-17 15:26:36.516,car,0.3264
2026-09-17 15:26:36.592,car,0.2789
2026-09-17 15:26:36.963,car,0.3115
2026-09-17 15:26:37.041,car,0.2668
2026-09-17 15:26:37.110,car,0.2668
2026-09-17 15:26:37.182,car,0.2668
2026-09-17 15:26:37.254,car,0.2668
2026-09-17 15:26:37.326,car,0.2668
2026-09-17 15:26:37.401,car,0.2668
2026-09-17 15:26:37.473,car,0.2668
2026-09-17 15:26:37.548,car,0.2668
2026-09-17 15:26:37.623,car,0.2668
2026-09-17 15:26:37.705,car,0.2528
2026-09-17 15:26:37.782,car,0.2973
2026-09-17 15:26:38.168,car,0.3094
2026-09-17 15:26:38.321,car,0.3178
2026-09-17 15:26:38.637,car,0.4811
2026-09-17 15:26:38.709,car,0.3688
2026-09-17 15:26:38.942,car,0.3132
2026-09-17 15:26:39.015,car,0.6893
2026-09-17 15:26:39.081,car,0.6246
2026-09-17 15:26:39.146,car,0.6246
2026-09-17 15:26:39.217,car,0.6246
2026-09-17 15:26:39.290,car,0.6246
2026-09-17 15:26:39.357,car,0.6246
2026-09-17 15:26:39.423,car,0.6246
2026-09-17 15:26:39.487,car,0.6246
2026-09-17 15:26:39.560,car,0.6246
2026-09-17 15:26:39.631,car,0.6246
2026-09-17 15:26:39.707,car,0.3263
2026-09-17 15:26:39.861,car,0.2504
2026-09-17 15:26:40.037,car,0.5932
2026-09-17 15:26:40.110,car,0.337
2026-09-17 15:26:40.189,car,0.4681
2026-09-17 15:26:40.261,car,0.4378
2026-09-17 15:26:40.350,car,0.5864
2026-09-17 15:26:40.441,car,0.3714
2026-09-17 15:26:40.516,car,0.3313
2026-09-17 15:26:40.593,car,0.7247
2026-09-17 15:26:40.675,car,0.5993
2026-09-17 15:26:40.754,car,0.4677
2026-09-17 15:26:40.832,car,0.6347
2026-09-17 15:26:40.907,car,0.259
2026-09-17 15:26:41.048,car,0.6943
2026-09-17 15:26:41.119,car,0.6943
2026-09-17 15:26:41.192,car,0.6943
2026-09-17 15:26:41.265,car,0.6943
2026-09-17 15:26:41.336,car,0.6943
2026-09-17 15:26:41.410,car,0.6943
2026-09-17 15:26:41.481,car,0.6943
2026-09-17 15:26:41.553,car,0.6943
2026-09-17 15:26:41.633,car,0.6943
2026-09-17 15:26:41.714,car,0.8582
2026-09-17 15:26:41.801,car,0.5239
2026-09-17 15:26:41.888,car,0.8729
2026-09-17 15:26:41.972,car,0.873
2026-09-17 15:26:42.048,car,0.9101
2026-09-17 15:26:42.122,car,0.9267
2026-09-17 15:26:42.199,car,0.8784
2026-09-17 15:26:42.276,car,0.9068
2026-09-17 15:26:42.351,car,0.9008
2026-09-17 15:26:42.424,car,0.8878
2026-09-17 15:26:42.499,car,0.8975
2026-09-17 15:26:42.581,car,0.8047
2026-09-17 15:26:42.652,car,0.8562
2026-09-17 15:26:50.071,car,0.2654
2026-09-17 15:26:52.709,car,0.2566
2026-09-17 15:26:52.845,car,0.2516
2026-09-17 15:26:52.924,car,0.4375
2026-09-17 15:26:52.924,car,0.3099
2026-09-17 15:26:52.997,car,0.4435
2026-09-17 15:26:52.997,car,0.3238
2026-09-17 15:26:54.160,car,0.2773
2026-09-17 15:26:54.318,car,0.2739
2026-09-17 15:26:54.629,car,0.422
2026-09-17 15:26:55.343,car,0.2613
2026-09-17 15:26:55.490,car,0.3186
2026-09-17 15:26:55.563,car,0.3009
2026-09-17 15:26:55.639,car,0.3009
2026-09-17 15:26:55.712,car,0.3009
2026-09-17 15:26:55.786,car,0.3009
2026-09-17 15:26:55.859,car,0.3009
2026-09-17 15:26:55.930,car,0.3009
2026-09-17 15:26:56.004,car,0.3009
2026-09-17 15:26:56.077,car,0.3009
2026-09-17 15:26:56.149,car,0.3009
2026-09-17 15:26:56.220,car,0.3009
2026-09-17 15:26:56.292,car,0.3009
2026-09-17 15:26:56.365,car,0.3009
2026-09-17 15:26:56.440,car,0.3009
2026-09-17 15:26:56.544,car,0.3009
2026-09-17 15:26:56.730,truck,0.2579
2026-09-17 15:26:56.817,car,0.394
2026-09-17 15:26:56.911,car,0.377
2026-09-17 15:26:57.006,truck,0.2542
2026-09-17 15:26:57.110,car,0.6823
2026-09-17 15:26:57.110,car,0.358
2026-09-17 15:26:57.194,car,0.5303
2026-09-17 15:26:57.279,truck,0.3294
2026-09-17 15:26:57.369,car,0.7209
2026-09-17 15:26:57.369,car,0.5099
2026-09-17 15:26:57.464,car,0.8468
2026-09-17 15:26:57.464,car,0.7419
2026-09-17 15:26:57.464,car,0.3621
2026-09-17 15:26:57.543,car,0.8513
2026-09-17 15:26:57.543,car,0.5848
2026-09-17 15:26:57.543,car,0.496
2026-09-17 15:26:57.543,car,0.2635
2026-09-17 15:26:57.637,car,0.9055
2026-09-17 15:26:57.637,car,0.7976
2026-09-17 15:26:57.637,car,0.4984
2026-09-17 15:26:57.637,car,0.2676
2026-09-17 15:26:57.746,car,0.9205
2026-09-17 15:26:57.746,car,0.8322
2026-09-17 15:26:57.746,car,0.4774
2026-09-17 15:26:57.876,car,0.8928
2026-09-17 15:26:57.876,car,0.7224
2026-09-17 15:26:57.876,car,0.3615
2026-09-17 15:26:57.995,car,0.9193
2026-09-17 15:26:57.995,car,0.4214
2026-09-17 15:26:57.995,truck,0.3915
2026-09-17 15:26:58.075,car,0.905
2026-09-17 15:26:58.075,car,0.405
2026-09-17 15:26:58.075,car,0.3778
2026-09-17 15:26:58.075,truck,0.364
2026-09-17 15:26:58.157,car,0.905
2026-09-17 15:26:58.157,car,0.405
2026-09-17 15:26:58.157,car,0.3778
2026-09-17 15:26:58.157,truck,0.364
2026-09-17 15:26:58.257,car,0.905
2026-09-17 15:26:58.257,car,0.405
2026-09-17 15:26:58.257,car,0.3778
2026-09-17 15:26:58.257,truck,0.364
2026-09-17 15:26:58.343,car,0.905
2026-09-17 15:26:58.343,car,0.405
2026-09-17 15:26:58.343,car,0.3778
2026-09-17 15:26:58.343,truck,0.364
2026-09-17 15:26:58.440,car,0.905
2026-09-17 15:26:58.440,car,0.405
2026-09-17 15:26:58.440,car,0.3778
2026-09-17 15:26:58.440,truck,0.364
2026-09-17 15:26:58.563,car,0.907
2026-09-17 15:26:58.563,car,0.6183
2026-09-17 15:26:58.563,car,0.3982
2026-09-17 15:26:58.695,car,0.7892
2026-09-17 15:26:58.695,car,0.7721
2026-09-17 15:26:58.695,car,0.3151
2026-09-17 15:26:58.805,car,0.8766
2026-09-17 15:26:58.805,car,0.807
2026-09-17 15:26:58.805,car,0.4781
2026-09-17 15:26:58.954,car,0.8652
2026-09-17 15:26:58.954,car,0.8607
2026-09-17 15:26:58.954,car,0.4951
2026-09-17 15:26:59.088,car,0.7428
2026-09-17 15:26:59.088,car,0.678
2026-09-17 15:26:59.088,car,0.4022
2026-09-17 15:26:59.088,car,0.266
2026-09-17 15:26:59.221,car,0.5175
2026-09-17 15:26:59.325,car,0.711
2026-09-17 15:26:59.325,car,0.532
2026-09-17 15:26:59.432,car,0.7834
2026-09-17 15:26:59.432,car,0.5656
2026-09-17 15:26:59.432,car,0.3179
2026-09-17 15:26:59.539,car,0.7834
2026-09-17 15:26:59.539,car,0.5656
2026-09-17 15:26:59.539,car,0.3179
2026-09-17 15:26:59.630,car,0.7834
2026-09-17 15:26:59.630,car,0.5656
2026-09-17 15:26:59.630,car,0.3179
2026-09-17 15:26:59.725,car,0.7834
2026-09-17 15:26:59.725,car,0.5656
2026-09-17 15:26:59.725,car,0.3179
2026-09-17 15:26:59.819,car,0.7834
2026-09-17 15:26:59.819,car,0.5656
2026-09-17 15:26:59.819,car,0.3179
2026-09-17 15:26:59.896,car,0.6944
2026-09-17 15:26:59.896,car,0.599
2026-09-17 15:26:59.896,car,0.3488
2026-09-17 15:26:59.971,car,0.6566
2026-09-17 15:26:59.971,car,0.5329
2026-09-17 15:26:59.971,car,0.2783
2026-09-17 15:27:00.078,car,0.6413
2026-09-17 15:27:00.078,car,0.5361
2026-09-17 15:27:00.078,car,0.2643
2026-09-17 15:27:00.170,car,0.7272
2026-09-17 15:27:00.170,car,0.4884
2026-09-17 15:27:00.266,car,0.5881
2026-09-17 15:27:00.266,car,0.5676
2026-09-17 15:27:00.357,car,0.6621
2026-09-17 15:27:00.357,car,0.6438
2026-09-17 15:27:00.457,car,0.7215
2026-09-17 15:27:00.457,car,0.6273
2026-09-17 15:27:00.457,car,0.2869
